input_id	dealiased_id	standard_id	short_id
doi:10.1038/s42256-019-0119-z	doi:10.1038/s42256-019-0119-z	doi:10.1038/s42256-019-0119-z	4sXp2sDw
doi:10.1126/science.8346440	doi:10.1126/science.8346440	doi:10.1126/science.8346440	RJ44nj3R
doi:10.1146/annurev.biochem.68.1.779	doi:10.1146/annurev.biochem.68.1.779	doi:10.1146/annurev.biochem.68.1.779	BeHu3IEC
doi:10.1002/anie.202009226	doi:10.1002/anie.202009226	doi:10.1002/anie.202009226	io987fKE
doi:10.1021/acs.jcim.6b00407	doi:10.1021/acs.jcim.6b00407	doi:10.1021/acs.jcim.6b00407	1HMhB3vxM
